Date,COPPER,LEAD,Tin,NICKEL,Zinc,GOLD,PLATINUM,SILVER
2018-02-01,7006.52,2581.06,21651.55,13595.88,3532.9,1330.73,987.26,16.582
2018-01-01,7065.85,2584.09,20696.91,12864.88,3441.52,1331.3,990.12,17.127
2017-12-01,6833.89,2509.92,19476.37,11495.11,3195.95,1264.45,907.2,16.165
2017-11-01,6826.55,2461.43,19557.52,11972.0,3229.31,1281.9,934.05,16.977
2017-10-01,6807.6,2498.22,20376.09,11335.77,3264.6,1279.51,921.0,16.941
2017-09-01,6577.17,2374.39,20796.62,11215.79,3116.86,1314.07,964.1,17.432
2017-08-01,6485.63,2348.47,20521.0,10889.98,2980.73,1283.04,972.7,16.952
2017-07-01,5985.12,2269.86,20223.48,9491.39,2787.19,1236.84,918.9,16.152
2017-06-01,5719.76,2132.93,19658.84,8931.76,2573.4,1260.26,930.73,16.931
2017-05-01,5599.56,2125.11,20200.33,9155.12,2590.21,1246.04,930.27,16.745
2017-04-01,5683.9,2220.61,19910.32,9609.28,2614.92,1266.88,960.84,18.033
2017-03-01,5824.63,2280.92,19875.2,10204.66,2776.88,1231.42,962.87,17.631
2017-02-01,5940.91,2311.5,19446.47,10643.3,2845.55,1234.2,1007.63,17.933
2017-01-01,5754.56,2242.62,20691.79,9971.46,2714.8,1192.1,971.15,16.902
2016-12-01,5660.35,2209.84,21204.35,10972.27,2664.81,1157.36,918.38,16.432
2016-11-01,5450.93,2180.58,21126.09,11128.91,2566.2,1238.35,955.14,17.407
2016-10-01,4731.26,2024.49,20099.76,10259.74,2311.5,1266.55,959.14,17.655
2016-09-01,4722.2,1947.64,19499.52,10191.78,2292.31,1326.61,1046.71,19.357
2016-08-01,4751.67,1835.52,18427.02,10335.99,2279.14,1340.17,1121.65,19.587
2016-07-01,4864.9,1834.79,17826.23,10262.86,2183.25,1336.66,1087.5,19.992
2016-06-01,4641.97,1712.77,16966.69,8928.35,2026.19,1276.4,984.14,17.286
2016-05-01,4694.54,1707.8,16706.95,8660.35,1869.03,1260.95,1035.86,16.947
2016-04-01,4872.74,1732.27,17032.71,8878.86,1855.37,1242.26,994.19,16.36
2016-03-01,4953.8,1802.19,16897.6,8717.25,1801.69,1245.14,967.73,15.465
2016-02-01,4598.62,1765.75,15610.14,8298.5,1709.85,1199.5,919.35,15.167
2016-01-01,4471.79,1646.2,13808.08,8507.29,1520.36,1097.91,855.25,14.106
2015-12-01,4638.83,1706.58,14691.69,8707.79,1527.79,1075.74,859.82,14.127
2015-11-01,4799.9,1618.35,14745.29,9244.33,1583.31,1086.44,885.2,14.452
2015-10-01,5216.09,1720.11,15794.61,10316.83,1724.34,1159.25,976.91,15.813
2015-09-01,5217.25,1684.25,15453.34,9937.55,1720.23,1124.77,964.38,14.75
2015-08-01,5127.3,1703.6,15163.77,10386.0,1807.64,1117.93,984.1,14.941
2015-07-01,5456.75,1763.04,15071.53,11413.1,2000.68,1128.31,1009.27,15.053
2015-06-01,5833.01,1829.5,15064.94,12825.23,2082.09,1181.5,1088.82,16.075
2015-05-01,6294.78,1991.78,15803.59,13511.34,2281.8,1198.63,1140.4,16.833
2015-04-01,6042.09,2005.36,15900.88,12830.92,2212.72,1198.93,1151.29,16.341
2015-03-01,5939.67,1792.47,17421.91,13755.5,2028.73,1178.63,1138.64,16.24
2015-02-01,5729.27,1795.66,18233.91,14573.84,2097.76,1227.08,1197.16,16.787
2015-01-01,5830.54,1843.13,19454.12,14849.19,2113.05,1250.75,1242.45,17.236
2014-12-01,6446.45,1938.11,19829.71,15962.05,2175.76,1200.62,1215.32,16.295
2014-11-01,6712.85,2030.18,20033.47,15807.05,2253.22,1175.33,1208.32,15.966
2014-10-01,6737.48,2034.26,19830.41,15812.37,2276.83,1222.49,1259.76,17.163
2014-09-01,6872.22,2117.24,21090.52,18034.8,2294.59,1236.55,1359.48,18.369
2014-08-01,7001.84,2236.84,22231.05,18600.2,2326.99,1295.13,1446.33,19.736
2014-07-01,7113.38,2193.24,22424.01,19117.65,2310.62,1310.59,1492.18,20.923
2014-06-01,6821.14,2106.94,22762.0,18628.81,2128.1,1279.1,1452.76,19.892
2014-05-01,6891.13,2097.32,23271.25,19401.08,2058.97,1288.74,1456.27,19.342
2014-04-01,6673.56,2087.09,23405.2,17373.6,2027.21,1298.45,1430.33,19.736
2014-03-01,6650.04,2053.08,23024.31,15678.1,2007.9,1336.08,1451.62,20.716
2014-02-01,7149.21,2108.03,22820.67,14203.55,2034.53,1299.58,1409.53,20.845
2014-01-01,7291.47,2143.17,22063.86,14101.25,2036.93,1244.27,1420.95,19.875
2013-12-01,7214.9,2136.7275,22762.125,13924.55,1974.975,1221.5119047619,1355.66666666667,19.67
2013-11-01,7070.65476190476,2089.55952380952,22826.880952381,13684.0119047619,1866.41666666667,1275.86,1420.1,20.7576
2013-10-01,7203.02173913043,2115.42826086957,23101.5869565217,14117.652173913,1884.83695652174,1316.58,1413.48,21.917
2013-09-01,7159.26904761905,2084.91904761905,22735.0714285714,13801.3928571429,1846.88095238095,1348.6,1456.86,22.5638
2013-08-01,7192.92045454545,2174.18181818182,21644.4318181818,14314.9318181818,1898.81818181818,1351.74181818182,1496.09090909091,21.89386363636
2013-07-01,6906.64130434783,2047.72826086957,19563.8260869565,13750.3152173913,1837.61956521739,1285.51565217391,1401.47826086957,19.7102173913
2013-06-01,7000.2375,2099.6875,20267.4,14280.275,1839.0125,1343.35,1430.23,21.109
2013-05-01,7249.41304347826,2032.97826086957,20775.8260869565,14947.9565217391,1831.55434782609,1414.02695652174,1475.17391304348,23.03826086957
2013-04-01,7234.27954545454,2027.38636363636,21662.25,15672.9545454545,1856.00454545455,1487.85727272727,1493.06818181818,25.355
2013-03-01,7645.58333333333,2169.41666666667,23296.5238095238,16724.9285714286,1926.07142857143,1593.08619047619,1582.95238095238,28.79095238095
2013-02-01,8060.925,2365.7875,24211.7375,17690.1,2128.6875,1627.57,1674.55,30.3288
2013-01-01,8047.36,2333.68,24545.9,17472.5,2032.2,1671.84782608696,1638.89130434783,31.06173913043
2012-12-01,7966.48684210526,2279.80263157895,22880.8947368421,17448.5,2040.42894736842,1684.762,1582.25,31.8745
2012-11-01,7711.22727272727,2181.96590909091,20713.0681818182,16335.3636363636,1912.39772727273,1721.64,1576.36,32.7732
2012-10-01,8062.03,2141.97,21233.7,17168.74,1903.96,1746.58,1635.83,33.1874
2012-09-01,8087.74,2177.67,20771.26,17287.96,2009.85,1744.81,1623.65,33.6085
2012-08-01,7515.53260869565,1900.61956521739,18772.6195652174,15735.2065217391,1818.16304347826,1630.31,1453.26,28.8002
2012-07-01,7584.26136363636,1881.47727272727,18546.0909090909,16128.4090909091,1847.75,1594.29,1425.82,27.4318
2012-06-01,7423.02380952381,1854.15238095238,19271.0714285714,16549.1428571429,1858.70238095238,1598.76,1443.86,27.9836
2012-05-01,7955.64285714286,2012.82142857143,20405.2380952381,17068.1904761905,1936.0,1589.04,1470.7,28.7196
2012-04-01,8289.48,2071.07,22200.62,17939.79,2002.14,1649.2,1585.81,31.5255
